accession,title,organism,n_samples,source_summary,library_strategy,single_cell_flag,material_flag,disease_terms_found,expression_files,decision,top_reason
GSE330266,Hepatocyte Hedgehog Signaling Controls Ferroptosis to Alleviate Aging-related Organ Dysfunction,Homo sapiens 10/10,10,liver-pattern source 10/10,RNA-Seq 10/10,FAIL,WARN,disease/fibrosis terms found in sample metadata (4 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX33257231, https://www.ncbi.nlm.nih.gov/sra?term=SRX33257232, https://www.ncbi.nlm.nih.gov/sra?term=SRX33257233, https://www.ncbi.nlm.nih.gov/sra?term=SRX33257234, https://www.ncbi.nlm.nih.gov/sra?term=SRX33257235, and 5 more (see sample_metadata.csv))",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Single-nucleus, single-nucleus (10 sample(s)))"
GSE303732,An appendiceal cancer organoid biobank identifies phenotypic evolution and druggable dependencies of peritoneal carcinomatosis,Homo sapiens 6/6,6,liver-pattern source 0/6,RNA-Seq 6/6,FAIL,WARN,no NAFLD-spectrum term found in series or sample metadata,"processed per-sample counts (6/6), packaged in GSE303732_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: .h5ad, 10x, Scanpy, barcodes.tsv, features.tsv, matrix.mtx, scRNA, single cell suspension (7 sample(s)))"
GSE309912,Bulk RNA-seq Toxic Lipid-induced Epigenetic Activation of ICAM1 in Liver Sinusoidal Endothelium Regulates Myeloid-Driven Fibro-inflammatory Response in MASH,Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE309912_PA.800_vs_PA.LY_DE_statAll_normCPM.xlsx,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE313271,S100A10-ANXA2 TETRAMER INHIBITION HAMPERS HEPATIC STELLATE CELL ACTIVATION IN MASLD MODELING HUMAN LIVER ORGANOIDS,Homo sapiens 1/1,1,liver-pattern source 1/1,RNA-Seq 1/1,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (1/1), packaged in GSE313271_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cell Ranger, Chromium, Seurat, features.tsv, single-cell suspension (1 sample(s)))"
GSE326605,Bile acid uptake activates STAT signaling and impairs natural killer cells in metabolic dysfunction–associated steatohepatitis,Homo sapiens 4/4,4,liver-pattern source 4/4,RNA-Seq 4/4,FAIL,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (4/4), packaged in GSE326605_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Chromium, Seurat, barcodes.tsv, cellranger, features.tsv, matrix.mtx (4 sample(s)))"
GSE319635,Methionine and choline deficiency rewires transcriptional programs to recapitulate molecular features of human MASH,"mixed organisms: Homo sapiens 6/8, Mus musculus 2/8",8,liver-pattern source 4/8,RNA-Seq 8/8,WARN,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE319635_Raw_counts_BMDM.txt.gz,MANUAL_REVIEW,sample_count: 8 samples (below 20)
GSE325422,RNA-seq analysis of sodium butyrate effects on palmitate-induced insulin resistance in HepG2 cells,Homo sapiens 15/15,15,liver-pattern source 15/15,RNA-Seq 15/15,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX32573679, https://www.ncbi.nlm.nih.gov/sra?term=SRX32573680, https://www.ncbi.nlm.nih.gov/sra?term=SRX32573681, https://www.ncbi.nlm.nih.gov/sra?term=SRX32573682, https://www.ncbi.nlm.nih.gov/sra?term=SRX32573683, and 10 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 15 samples (below 20)
GSE290642,Selective targeting of endothelial and perivascular ROCK2 reverses liver fibrosis in  pigs and human patients,"mixed organisms: Homo sapiens 24/36, Sus scrofa 12/36",36,liver-pattern source 36/36,RNA-Seq 36/36,WARN,PASS,disease/fibrosis terms found in sample metadata (30 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX34454623, https://www.ncbi.nlm.nih.gov/sra?term=SRX34454624, https://www.ncbi.nlm.nih.gov/sra?term=SRX34454625, https://www.ncbi.nlm.nih.gov/sra?term=SRX34454626, https://www.ncbi.nlm.nih.gov/sra?term=SRX34454627, and 7 more (see sample_metadata.csv))",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 24/36, Sus scrofa 12/36"
GSE260823,Transcriptomic analysis of co-culture generated lipid-associated macrophages (LAMs),Homo sapiens 6/6,6,liver-pattern source 0/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX23831353, https://www.ncbi.nlm.nih.gov/sra?term=SRX23831354, https://www.ncbi.nlm.nih.gov/sra?term=SRX23831355, https://www.ncbi.nlm.nih.gov/sra?term=SRX23831356, https://www.ncbi.nlm.nih.gov/sra?term=SRX23831357, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE324401,Evaluation of the immortalized primary human hepatocyte cell line Fa2N-4 as a model for MASLD,Homo sapiens 48/48,48,liver-pattern source 48/48,RNA-Seq 48/48,PASS,WARN,disease/fibrosis terms found in sample metadata (8 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX32438565, https://www.ncbi.nlm.nih.gov/sra?term=SRX32438566, https://www.ncbi.nlm.nih.gov/sra?term=SRX32438567, https://www.ncbi.nlm.nih.gov/sra?term=SRX32438568, https://www.ncbi.nlm.nih.gov/sra?term=SRX32438569, and 43 more (see sample_metadata.csv))",MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE317876,A multi-stage transcriptomic resource of Artemisitene (ATT) for enhancing liver organoid functionality and treating metabolic liver disease.,Homo sapiens 21/21,21,liver-pattern source 0/21,RNA-Seq 21/21,PASS,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE317876_FFA_rawcounts.xls.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 0/21
GSE319709,Single-cell transcriptomics reveals etiology-specific T-cell heterogeneity in hepatocellular carcinoma and implicates regulatory,Homo sapiens 18/18,18,liver-pattern source 10/18,RNA-Seq 18/18,FAIL,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (18/18), packaged in GSE319709_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Seurat, barcodes.tsv, features.tsv, matrix.mtx (18 sample(s)))"
GSE318806,P21+TREM2+-Senescent Macrophages Fuel Inflammaging and Metabolic Dysfunction-Associated Steatotic Liver Disease. [Blood],Homo sapiens 9/9,9,liver-pattern source 0/9,RNA-Seq 9/9,WARN,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE318806_human_counts-gene.xls.gz,MANUAL_REVIEW,sample_count: 9 samples (below 20)
GSE274898,TGF-beta mediated hepatic stellate cells activation is dampened in the absence of EPHB2 in vitro.,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE274898_20073R_counts.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE289433,Transcription factor REST regulates activation and growth of human Hepatic Stellate Cells,Homo sapiens 8/8,8,liver-pattern source 8/8,RNA-Seq 8/8,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (8/8), packaged in GSE289433_RAW.tar",MANUAL_REVIEW,sample_count: 8 samples (below 20)
GSE303090,Mature Polarized Hepatocyte Organoids Derived from Human Embryonic Stem Cells for Modeling the Pathogenesis and Progression of Metabolic Dysfunction-Associated Steatotic Liver Disease and Therapeutic Drug Screening,Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE303090_Day10_counts_matrix.txt.gz,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE313774,A Microphysiological Model of Human MASLD Reveals Paradoxical Response to Resmetirom,Homo sapiens 33/33,33,liver-pattern source 33/33,RNA-Seq 33/33,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE313774_RNA05000001_tpm.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE312066,A genetically encoded bifunctional enzyme that mitigates redox imbalance and lipotoxicity via engineered Gro3P-Glycerol shunt,Homo sapiens 8/8,8,liver-pattern source 0/8,RNA-Seq 8/8,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (8/8), packaged in GSE312066_RAW.tar",MANUAL_REVIEW,sample_count: 8 samples (below 20)
GSE260956,Hepatic GPNMB aggravates NASH through binding to RYK [RNA-Seq],"mixed organisms: Homo sapiens 4/8, Mus musculus 4/8",8,liver-pattern source 8/8,RNA-Seq 8/8,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX23849565, https://www.ncbi.nlm.nih.gov/sra?term=SRX23849566, https://www.ncbi.nlm.nih.gov/sra?term=SRX23849567, https://www.ncbi.nlm.nih.gov/sra?term=SRX23849568, https://www.ncbi.nlm.nih.gov/sra?term=SRX23849569, and 3 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 8 samples (below 20)
GSE309786,PNPLA3-I148M genetic variant rewires lipid metabolism to drive programmed cell death in human hepatocytes,Homo sapiens 8/8,8,liver-pattern source 8/8,RNA-Seq 8/8,FAIL,INFO,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE309786_Normalized_Counts_All_Samples.csv.gz,REJECT,single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: SMART-Seq (8 sample(s)))
GSE307420,Inhibition of Acetyl-CoA metabolic enzymes by EVT0185 impairs hepatic stellate cell activation and reverses MASH and fibrosis in mouse models.,Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,WARN,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE307420_LX2_featurecounts.txt.gz,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE299888,Liver-specific LXR inverse agonist restores lipid homeostasis in animal models and humans,Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX29191293, https://www.ncbi.nlm.nih.gov/sra?term=SRX29191294, https://www.ncbi.nlm.nih.gov/sra?term=SRX29191295, https://www.ncbi.nlm.nih.gov/sra?term=SRX29191296, https://www.ncbi.nlm.nih.gov/sra?term=SRX29191297, and 7 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE308064,PAD4⁺ Neutrophils Promote Hepatic Stellate Cell Activation and Accelerate MASH Fibrosis Progression via NETs-DNA/TAOK1/MAPK Pathways,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX23505873, https://www.ncbi.nlm.nih.gov/sra?term=SRX23505874, https://www.ncbi.nlm.nih.gov/sra?term=SRX23505875, https://www.ncbi.nlm.nih.gov/sra?term=SRX23505876, https://www.ncbi.nlm.nih.gov/sra?term=SRX23505877, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE307517,ClinASO: a guideline for rapid drug discovery of gapmer antisense oligonucleotidess,"mixed organisms: Homo sapiens 6/12, Mus musculus 6/12",12,liver-pattern source 6/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX30408912, https://www.ncbi.nlm.nih.gov/sra?term=SRX30408913, https://www.ncbi.nlm.nih.gov/sra?term=SRX30408914, https://www.ncbi.nlm.nih.gov/sra?term=SRX30408915, https://www.ncbi.nlm.nih.gov/sra?term=SRX30408916, and 7 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE306957,Mitochondrial RNA cytosolic leakage drives the SASP [CRISPR/Cas9],"mixed organisms: Homo sapiens 27/34, Mus musculus 7/34",34,liver-pattern source 7/34,RNA-Seq 34/34,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (34/34), packaged in GSE306957_RAW.tar",REJECT,single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X (34 sample(s)))
GSE279712,Unraveling and enhancing the dynamics of hepatic bile acid and cholesterol metabolism during ex vivo normothermic machine perfusion; a path to improved liver function through conjugated bile acid infusion,"mixed organisms: Homo sapiens 12/22, Sus scrofa domesticus 10/22",22,liver-pattern source 22/22,RNA-Seq 22/22,PASS,PASS,disease/fibrosis terms found in sample metadata (2 sample(s)),"processed per-sample counts (22/22), packaged in GSE279712_RAW.tar",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 12/22, Sus scrofa domesticus 10/22"
GSE275942,Estrogen Receptor 1 Signaling in Hepatic Stellate Cells Designates Resistance to Liver Fibrosis,"mixed organisms: Homo sapiens 2/11, Mus musculus 9/11",11,liver-pattern source 11/11,"mixed strategies: ChIP-Seq 1/11, RNA-Seq 10/11",PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE275942_mHSC_female_estradiol_treatment_gene_expression.txt.gz,MANUAL_REVIEW,sample_count: 11 samples (below 20)
GSE278593,IGFBP-7 transforms hepatic stellate cells into an HCC-promoting phenotype in MASLD.,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX26259537, https://www.ncbi.nlm.nih.gov/sra?term=SRX26259538, https://www.ncbi.nlm.nih.gov/sra?term=SRX26259539, https://www.ncbi.nlm.nih.gov/sra?term=SRX26259540, https://www.ncbi.nlm.nih.gov/sra?term=SRX26259541, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE268360,Reduced ZMPSTE24 expression leads to prelamin accumulation and development of steatosis in MAFLD patients [RNA-seq],Homo sapiens 18/18,18,liver-pattern source 18/18,RNA-Seq 18/18,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX24702874, https://www.ncbi.nlm.nih.gov/sra?term=SRX24702875, https://www.ncbi.nlm.nih.gov/sra?term=SRX24702876, https://www.ncbi.nlm.nih.gov/sra?term=SRX24702877, https://www.ncbi.nlm.nih.gov/sra?term=SRX24702878, and 13 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 18 samples (below 20)
GSE293003,Hepatocyte FoxO1 depletion exacerbates hepatic inflammation in MASH,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX28143691, https://www.ncbi.nlm.nih.gov/sra?term=SRX28143692, https://www.ncbi.nlm.nih.gov/sra?term=SRX28143693, https://www.ncbi.nlm.nih.gov/sra?term=SRX28143694, https://www.ncbi.nlm.nih.gov/sra?term=SRX28143695, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE292999,Peroxisome Proliferator-activated Receptor Agonist IVA337 Alleviates Inflammation,Homo sapiens 14/14,14,liver-pattern source 14/14,RNA-Seq 14/14,PASS,WARN,disease/fibrosis terms found in sample metadata (10 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX28151104, https://www.ncbi.nlm.nih.gov/sra?term=SRX28151105, https://www.ncbi.nlm.nih.gov/sra?term=SRX28151106, https://www.ncbi.nlm.nih.gov/sra?term=SRX28151107, https://www.ncbi.nlm.nih.gov/sra?term=SRX28151108, and 9 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 14 samples (below 20)
GSE292002,Endoplasmic reticulum stress sensor protein PERK in hepatic stellate cells promotes the progression of hepatocellular carcinoma via p38δ MAPK/IL-1β axis,Homo sapiens 6/6,6,liver-pattern source 0/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX28002653, https://www.ncbi.nlm.nih.gov/sra?term=SRX28002654, https://www.ncbi.nlm.nih.gov/sra?term=SRX28002655, https://www.ncbi.nlm.nih.gov/sra?term=SRX28002656, https://www.ncbi.nlm.nih.gov/sra?term=SRX28002657, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE205179,"3D bioprinting of human liver models with biliary branching morphogenesis for hepatotoxicity, regeneration and NASH",Homo sapiens 12/12,12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE205179_gene_fpkm.txt.gz,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE267195,Single-cell landscape of peripheral immune cells in MAFLD/MASH,Homo sapiens 68/68,68,liver-pattern source 18/68,RNA-Seq 68/68,FAIL,PASS,disease/fibrosis terms found in sample metadata (48 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX24499405, https://www.ncbi.nlm.nih.gov/sra?term=SRX24499406, https://www.ncbi.nlm.nih.gov/sra?term=SRX24499407, https://www.ncbi.nlm.nih.gov/sra?term=SRX24499408, https://www.ncbi.nlm.nih.gov/sra?term=SRX24499409, and 63 more (see sample_metadata.csv))",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Chromium, cellranger, scRNA, scanpy (15 sample(s)))"
GSE267033,Single-cell landscape of peripheral immune cells in MAFLD/MASH [scRNA-seq],Homo sapiens 15/15,15,liver-pattern source 0/15,RNA-Seq 15/15,FAIL,PASS,disease/fibrosis terms found in sample metadata (9 sample(s)),processed series-level file: GSE267033_counts_RNAseq_sc_WBC.txt.gz,REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Chromium, cellranger, scRNA, scanpy (15 sample(s)))"
GSE267032,Bulk White Blood Cells in MAFLD/MASH,Homo sapiens 35/35,35,liver-pattern source 0/35,RNA-Seq 35/35,WARN,PASS,disease/fibrosis terms found in sample metadata (21 sample(s)),processed series-level file: GSE267032_counts_RNASeq_WBC_bulk.txt.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 0/35
GSE267031,Bulk Liver in MAFLD/MASH,Homo sapiens 18/18,18,liver-pattern source 18/18,RNA-Seq 18/18,WARN,PASS,disease/fibrosis terms found in sample metadata (18 sample(s)),processed series-level file: GSE267031_counts_RNAseq_Liver.txt.gz,MANUAL_REVIEW,sample_count: 18 samples (below 20)
GSE295362,Hepatocyte-derived Pumilio1-enriched exosomes inhibit HSC activation by suppressing tropomyosin-4 translation,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE295362_All_gene_expression_TPM.txt.gz,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE293127,Activation of the Imprinted Gene Network is a conserved signature of MASLD induced by the early life environment,Homo sapiens 28/28,28,liver-pattern source 28/28,RNA-Seq 28/28,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE293127_All_counts.csv.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE266460,Protein tyrosine phosphatase delta is a STAT3-phosphatase and suppressor of metabolic liver disease (HepaRG cells).,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX24437046, https://www.ncbi.nlm.nih.gov/sra?term=SRX24437047, https://www.ncbi.nlm.nih.gov/sra?term=SRX24437048, https://www.ncbi.nlm.nih.gov/sra?term=SRX24437049, https://www.ncbi.nlm.nih.gov/sra?term=SRX24437050, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE256398,Hepatic stellate cells control liver zonation and function via R-spondin 3,"mixed organisms: Homo sapiens 26/30, Mus musculus 4/30",30,liver-pattern source 30/30,RNA-Seq 30/30,FAIL,PASS,disease/fibrosis terms found in sample metadata (11 sample(s)),"processed per-sample counts (30/30), packaged in GSE256398_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cellranger, Chromium (30 sample(s)))"
GSE267145,The transcription factor ZNF469 regulates collagen production in liver fibrosis,"mixed organisms: Homo sapiens 448/508, Mus musculus 60/508",508,liver-pattern source 432/508,"mixed strategies: Hi-C 2/508, OTHER 120/508, RNA-Seq 386/508",PASS,WARN,disease/fibrosis terms found in sample metadata (99 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX24462696, https://www.ncbi.nlm.nih.gov/sra?term=SRX24462697, https://www.ncbi.nlm.nih.gov/sra?term=SRX24488324, https://www.ncbi.nlm.nih.gov/sra?term=SRX24488325, https://www.ncbi.nlm.nih.gov/sra?term=SRX24488326, and 503 more (see sample_metadata.csv))",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 448/508, Mus musculus 60/508"
GSE288534,Targeting Senescent Hepatocytes for Treatment of Metabolic Dysfunction-associated Steatotic Liver Disease and Multi-organ Dysfunction,"mixed organisms: Homo sapiens 14/24, Mus musculus 10/24",24,liver-pattern source 24/24,RNA-Seq 24/24,WARN,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (18/24), packaged in GSE288534_RAW.tar",MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 14/24, Mus musculus 10/24"
GSE289173,Single-cell eQTL analysis identifies genetic variation underlying metabolic dysfunction-associated steatohepatitis,Homo sapiens 48/48,48,liver-pattern source 48/48,RNA-Seq 48/48,FAIL,PASS,disease/fibrosis terms found in sample metadata (19 sample(s)),"processed per-sample counts (48/48), packaged in GSE289173_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cellranger, barcodes.tsv, features.tsv, matrix.mtx, snRNA (48 sample(s)))"
GSE282660,Salsalate improves the anti-tumor efficacy of Lenvatinib in MASH-driven hepatocellular carcinoma.,"mixed organisms: Homo sapiens 12/36, Mus musculus 24/36",36,liver-pattern source 24/36,RNA-Seq 36/36,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE282660_cells_VST_normalized_counts.txt.gz,MANUAL_REVIEW,"organism_consistency: mixed organisms: Homo sapiens 12/36, Mus musculus 24/36"
GSE270488,Antigen-driven CD8+ T cell clonal expansion is a prominent feature of MASH in humans and mice [human],Homo sapiens 18/18,18,liver-pattern source 16/18; off-target tissue signal detected,"mixed strategies: OTHER 9/18, RNA-Seq 9/18",FAIL,PASS,disease/fibrosis terms found in sample metadata (6 sample(s)),processed series-level file: GSE270488_human_normalized_rna_matrix.mtx.gz,REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Cellranger, Chromium, Seurat, barcodes.tsv, features.tsv, matrix.mtx (19 sample(s)))"
GSE276114,Integrative proteo-transcriptomic characterization of advanced fibrosis in chronic liver disease across etiologies,Homo sapiens 177/177,177,liver-pattern source 177/177,RNA-Seq 177/177,PASS,PASS,disease/fibrosis terms found in sample metadata (81 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX25923107, https://www.ncbi.nlm.nih.gov/sra?term=SRX25923108, https://www.ncbi.nlm.nih.gov/sra?term=SRX25923109, https://www.ncbi.nlm.nih.gov/sra?term=SRX25923110, https://www.ncbi.nlm.nih.gov/sra?term=SRX25923111, and 172 more (see sample_metadata.csv))",CANDIDATE,
GSE205881,"RNA Sequencing Facilitates Quantitative Analysis of Humanized Normal Livers, NASH Livers, and HCC Transcriptomes",Homo sapiens | Mus musculus 66/66,66,liver-pattern source 36/66,RNA-Seq 66/66,PASS,PASS,disease/fibrosis terms found in sample metadata (24 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX15675771, https://www.ncbi.nlm.nih.gov/sra?term=SRX15675772, https://www.ncbi.nlm.nih.gov/sra?term=SRX15675773, https://www.ncbi.nlm.nih.gov/sra?term=SRX15675774, https://www.ncbi.nlm.nih.gov/sra?term=SRX15675775, and 61 more (see sample_metadata.csv))",MANUAL_REVIEW,source_tissue: liver-pattern source 36/66
GSE238060,HSD17B13 liquid-liquid phase separation activates autocrine platelet-activating factor signaling in NASH,"mixed organisms: Homo sapiens 6/12, Mus musculus 6/12",12,liver-pattern source 12/12,RNA-Seq 12/12,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE238060_AAV_KO_FPKM.txt.gz,MANUAL_REVIEW,sample_count: 12 samples (below 20)
GSE268518,Duodenal-derived organoids from MASH patients exhibit altered digestive homeostasis.,Homo sapiens 39/39,39,liver-pattern source 25/39,RNA-Seq 39/39,PASS,WARN,disease/fibrosis terms found in sample metadata (20 sample(s)),processed series-level file: GSE268518_CP20M_Biopsies_CTRL_and_MASH_excel_file_complete_expression_profile_14052024.txt.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 25/39
GSE280378,Induction of MASH in Three-Dimensional Bioprinted Human Liver Tissue,Homo sapiens 22/22,22,liver-pattern source 22/22,no expression-profiling strategy found (ssRNA-seq),PASS,INFO,disease/fibrosis terms found in sample metadata (12 sample(s)),processed series-level file: GSE280378_20240206115043_raw_pc_genes_counts.csv.gz,REJECT,library_strategy: no expression-profiling samples (no expression-profiling strategy found (ssRNA-seq))
GSE244832,Multi-Modal Comparison of human Hepatic Stellate Cells identifies novel therapeutic targets for Metabolic Dysfunction-Associated Steatotic Liver Disease,Homo sapiens 36/36,36,liver-pattern source 36/36,"mixed strategies: ATAC-seq 18/36, RNA-Seq 18/36",FAIL,INFO,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX22021595, https://www.ncbi.nlm.nih.gov/sra?term=SRX22021596, https://www.ncbi.nlm.nih.gov/sra?term=SRX22021597, https://www.ncbi.nlm.nih.gov/sra?term=SRX22021598, https://www.ncbi.nlm.nih.gov/sra?term=SRX22021599, and 31 more (see sample_metadata.csv))",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Nuclei were isolat, cellranger, single nucleus, snRNA (36 sample(s)))"
